"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"183197_at"	"4.91e-04"	"1.09e-06"	"45.65616"	"spp-21///spp-9"	"SaPosin-like Protein family///SaPosin-like Protein family"
"192281_at"	"5.01e-04"	"1.14e-06"	"45.18996"	"acs-11"	"fatty Acid CoA Synthetase family"
"173930_s_at"	"5.01e-04"	"1.15e-06"	"45.12292"	"acer-1"	"ACEtyl-CoA Regulator"
"177144_at"	"5.17e-04"	"1.24e-06"	"44.4534"	"nhr-114"	"Nuclear Hormone Receptor family"
"183902_at"	"5.17e-04"	"1.25e-06"	"44.35931"	"msra-1"	"Methionine Sulfoxide Reductase A"
"186008_at"	"5.17e-04"	"1.27e-06"	"44.23197"	"F54B11.11"	"hypothetical protein"
"192194_s_at"	"5.17e-04"	"1.28e-06"	"44.18026"	"asm-3"	"Putative sphingomyelin phosphodiesterase asm-3"
"190185_at"	"5.35e-04"	"1.35e-06"	"43.73456"	"acly-1"	"Probable ATP-citrate synthase"
"190619_at"	"6.06e-04"	"1.58e-06"	"42.35617"	"asp-10"	"ASpartyl Protease"
"193293_at"	"6.06e-04"	"1.60e-06"	"42.2824"	"cpr-1"	"Gut-specific cysteine proteinase"
"192578_at"	"6.06e-04"	"1.61e-06"	"42.22169"	"fat-7"	"Delta(9)-fatty-acid desaturase fat-7"
"185335_at"	"6.30e-04"	"1.70e-06"	"41.75568"	"F10D2.10"	"hypothetical protein"
"176140_s_at"	"6.77e-04"	"1.89e-06"	"40.8978"	"F42H10.6"	"Putative esterase F42H10.6"
"180747_s_at"	"6.77e-04"	"1.92e-06"	"40.73254"	"dsc-4"	"Defecation Suppressor of Clk-1"
"190092_at"	"6.77e-04"	"1.95e-06"	"40.6218"	"aat-2"	"Amino Acid Transporter"
"176116_at"	"6.77e-04"	"1.96e-06"	"40.58281"	"F09G8.5"	"hypothetical protein"
"184707_s_at"	"6.77e-04"	"1.97e-06"	"40.52201"	"dod-21///C32H11.9"	"Downstream Of DAF-16 (regulated by DAF-16)///hypothetical protein"
"193801_s_at"	"7.78e-04"	"2.30e-06"	"39.28572"	"clec-49///clec-48"	"C-type LECtin///C-type LECtin"
"174347_s_at"	"8.28e-04"	"2.49e-06"	"38.67831"	"C49C8.5"	"hypothetical protein"
"187964_at"	"8.52e-04"	"2.60e-06"	"38.35182"	"lipl-1"	"Lipase"
"175077_s_at"	"8.84e-04"	"2.73e-06"	"37.95465"	"C05D12.3"	"hypothetical protein"
"188106_at"	"8.84e-04"	"2.77e-06"	"37.84491"	"fil-1"	"Fasting Induced Lipase"
"176955_at"	"9.16e-04"	"2.91e-06"	"37.47351"	"ech-7"	"Enoyl-CoA Hydratase"
"188358_at"	"9.17e-04"	"2.96e-06"	"37.35561"	"faah-1"	"Fatty acid amide hydrolase 1"
"178599_at"	"9.28e-04"	"3.03e-06"	"37.16716"	"spp-12"	"SaPosin-like Protein family"
"178918_at"	"1.00e-03"	"3.36e-06"	"36.41274"	"srap-1"	"Serine Rich Adhesion Protein-like"
"190439_s_at"	"1.00e-03"	"3.39e-06"	"36.35148"	"cav-2"	"Caveolin-2"
"172579_x_at"	"1.00e-03"	"3.42e-06"	"36.28347"	"F59E12.6"	"hypothetical protein"
"190851_at"	"1.20e-03"	"4.19e-06"	"34.81627"	"alh-1"	"ALdehyde deHydrogenase"
"176916_at"	"1.20e-03"	"4.22e-06"	"34.77678"	"Y67H2A.9"	"pseudo"
"182492_at"	"1.20e-03"	"4.23e-06"	"34.75001"	"math-14"	"MATH (meprin-associated Traf homology) domain containing"
"173972_s_at"	"1.22e-03"	"4.36e-06"	"34.54755"	"art-1"	"Probable very-long-chain enoyl-CoA reductase art-1"
"193838_s_at"	"1.31e-03"	"4.74e-06"	"33.96636"	"clec-49"	"C-type LECtin"
"186801_s_at"	"1.33e-03"	"4.88e-06"	"33.76226"	"F45D11.15///F45D11.14///F45D11.16"	"hypothetical protein///hypothetical protein///hypothetical protein"
"189554_at"	"1.36e-03"	"5.04e-06"	"33.54344"	"spin-1"	"SPINster (Drosophila lysosomal permease) homolog"
"183330_s_at"	"1.37e-03"	"5.14e-06"	"33.40553"	"C09B8.4"	"hypothetical protein"
"189900_at"	"1.37e-03"	"5.21e-06"	"33.31099"	"B0454.6"	"hypothetical protein"
"189176_at"	"1.40e-03"	"5.37e-06"	"33.11246"	"cyp-25A1"	"CYtochrome P450 family"
"189402_s_at"	"1.43e-03"	"5.61e-06"	"32.82001"	"pmp-5"	"Peroxisomal Membrane Protein related"
"191502_at"	"1.43e-03"	"5.62e-06"	"32.80399"	"ugt-18"	"UDP-glucuronosyltransferase"
"175212_at"	"1.48e-03"	"5.89e-06"	"32.48684"	"clec-82"	"C-type LECtin"
"191873_at"	"1.52e-03"	"6.13e-06"	"32.23157"	""	""
"189828_s_at"	"1.59e-03"	"6.47e-06"	"31.87171"	"hsp-3"	"Heat Shock Protein"
"180913_at"	"1.59e-03"	"6.54e-06"	"31.80044"	"aqp-1"	"AQuaPorin or aquaglyceroporin related"
"189132_at"	"1.63e-03"	"6.81e-06"	"31.54579"	"E02D9.1"	"hypothetical protein"
"185902_at"	"1.63e-03"	"6.83e-06"	"31.52465"	"F21C10.9"	"hypothetical protein"
"174393_at"	"1.63e-03"	"6.96e-06"	"31.4048"	"H40L08.2"	"hypothetical protein"
"190778_at"	"1.63e-03"	"6.97e-06"	"31.39316"	"cln-3.1"	"Battenin"
"189460_at"	"1.63e-03"	"7.08e-06"	"31.29559"	"ckb-2"	"Choline kinase B2"
"187867_at"	"1.63e-03"	"7.13e-06"	"31.25089"	"sir-2.3"	"NAD-dependent protein deacylase sir-2.3"
"190978_at"	"1.65e-03"	"7.28e-06"	"31.11564"	"sodh-1"	"Alcohol dehydrogenase 1"
"187412_at"	"1.84e-03"	"8.22e-06"	"30.34893"	"C18H9.6"	"hypothetical protein"
"188822_at"	"1.86e-03"	"8.40e-06"	"30.21512"	"acdh-1"	"Acyl CoA DeHydrogenase"
"181698_s_at"	"1.88e-03"	"8.62e-06"	"30.0518"	"math-4"	"MATH (meprin-associated Traf homology) domain containing"
"173996_at"	"1.88e-03"	"8.67e-06"	"30.01919"	"acdh-2"	"Acyl CoA DeHydrogenase"
"193124_s_at"	"1.88e-03"	"8.72e-06"	"29.98229"	"pdi-2"	"Protein Disulfide Isomerase"
"176939_at"	"2.00e-03"	"9.35e-06"	"29.5566"	"spp-23"	"SaPosin-like Protein family"
"179858_at"	"2.08e-03"	"9.86e-06"	"29.23762"	"C49C8.5"	"hypothetical protein"
"184116_s_at"	"2.09e-03"	"9.96e-06"	"29.17583"	"T05E12.6"	"hypothetical protein"
"177544_at"	"2.10e-03"	"1.01e-05"	"29.091"	"hrg-3"	"Heme Responsive Gene"
"193394_at"	"2.11e-03"	"1.03e-05"	"28.99329"	"drd-5"	"dietary restriction down regulated"
"193162_s_at"	"2.13e-03"	"1.06e-05"	"28.82982"	"pcyt-1"	"Phosphocholine CYtidylylTransferase"
"185141_at"	"2.13e-03"	"1.06e-05"	"28.82397"	"clec-125"	"C-type LECtin"
"183549_at"	"2.13e-03"	"1.06e-05"	"28.79173"	"C49A9.5"	"hypothetical protein"
"190736_s_at"	"2.31e-03"	"1.16e-05"	"28.24817"	"ivd-1"	"IsoValeryl-CoA Dehydrogenase"
"185336_s_at"	"2.42e-03"	"1.24e-05"	"27.87206"	"F10D2.10"	"hypothetical protein"
"183376_at"	"2.42e-03"	"1.25e-05"	"27.85832"	"Y39B6A.27"	"hypothetical protein"
"182180_at"	"2.42e-03"	"1.25e-05"	"27.83684"	"C50D2.6"	"hypothetical protein"
"190620_s_at"	"2.44e-03"	"1.28e-05"	"27.71364"	"alh-5"	"Aldehyde dehydrogenase"
"188987_at"	"2.44e-03"	"1.29e-05"	"27.65285"	"F20G2.1"	"hypothetical protein"
"189318_at"	"2.44e-03"	"1.30e-05"	"27.63063"	"elo-2"	"Elongation of very long chain fatty acids protein"
"175587_at"	"2.47e-03"	"1.32e-05"	"27.50943"	"acly-1"	"Probable ATP-citrate synthase"
"AFFX-DapX-3_at"	"2.47e-03"	"1.33e-05"	"27.46732"	""	""
"192010_s_at"	"2.48e-03"	"1.35e-05"	"27.41009"	"hsp-4"	"Heat Shock Protein"
"171817_x_at"	"2.49e-03"	"1.37e-05"	"27.33228"	"Y38F2AR.9"	"hypothetical protein"
"191611_at"	"2.49e-03"	"1.38e-05"	"27.28938"	"cdr-1"	"CaDmium Responsive"
"176139_at"	"2.50e-03"	"1.39e-05"	"27.21175"	"F42H10.6"	"Putative esterase F42H10.6"
"192737_at"	"2.55e-03"	"1.43e-05"	"27.0662"	"scl-2"	"SCP-Like extracellular protein"
"189744_s_at"	"2.58e-03"	"1.46e-05"	"26.96407"	"Y19D10A.16///C01B4.6"	"Aldose 1-epimerase///Aldose 1-epimerase"
"173898_at"	"2.65e-03"	"1.52e-05"	"26.71687"	"pdi-6"	"Probable protein disulfide-isomerase A6"
"183408_at"	"2.65e-03"	"1.52e-05"	"26.71312"	"W01C8.5"	"hypothetical protein"
"193016_s_at"	"2.65e-03"	"1.53e-05"	"26.68396"	"Y38F1A.6"	"Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial"
"193111_s_at"	"2.67e-03"	"1.56e-05"	"26.58984"	"sur-5"	"Acetoacetyl-CoA synthetase"
"175993_at"	"2.74e-03"	"1.62e-05"	"26.37476"	"gsto-1"	"Glutathione transferase omega-1"
"192669_at"	"2.74e-03"	"1.62e-05"	"26.36733"	"F22D6.9"	"Serine/threonine-protein phosphatase"
"191723_s_at"	"2.78e-03"	"1.67e-05"	"26.20771"	"cwn-2"	"Protein Wnt-2"
"191638_s_at"	"2.78e-03"	"1.67e-05"	"26.20343"	"F10G8.1///C55B7.3"	"Protein-tyrosine-phosphatase///Protein-tyrosine-phosphatase"
"185145_at"	"2.79e-03"	"1.69e-05"	"26.15501"	"Y46D2A.2"	"hypothetical protein"
"190346_at"	"2.79e-03"	"1.70e-05"	"26.11222"	"F10G8.9"	"hypothetical protein"
"182068_at"	"2.79e-03"	"1.72e-05"	"26.06105"	"T05F1.11"	"hypothetical protein"
"189790_s_at"	"2.93e-03"	"1.81e-05"	"25.76484"	"hum-6"	"Unconventional myosin heavy chain 6"
"177956_at"	"3.01e-03"	"1.88e-05"	"25.57726"	"srd-53"	"Serpentine Receptor, class D (delta)"
"188078_at"	"3.06e-03"	"1.92e-05"	"25.45688"	"lipl-2"	"Lipase"
"184144_at"	"3.09e-03"	"1.95e-05"	"25.36556"	"R193.2"	"hypothetical protein"
"189234_at"	"3.13e-03"	"1.99e-05"	"25.26527"	"E01G6.3"	"Carboxylic ester hydrolase"
"176349_s_at"	"3.15e-03"	"2.02e-05"	"25.19486"	"T24E12.5"	"hypothetical protein"
"178672_s_at"	"3.15e-03"	"2.04e-05"	"25.15045"	"F56D5.4"	"pseudo"
"174184_at"	"3.32e-03"	"2.16e-05"	"24.85054"	"Y54G2A.10"	"hypothetical protein"
"178843_at"	"3.34e-03"	"2.18e-05"	"24.78627"	"F08G5.6"	"hypothetical protein"
"185802_at"	"3.40e-03"	"2.24e-05"	"24.65136"	"F59E11.5"	"hypothetical protein"
"189800_s_at"	"3.46e-03"	"2.31e-05"	"24.49842"	"mua-3"	"Transmembrane cell adhesion receptor mua-3"
"184397_s_at"	"3.46e-03"	"2.31e-05"	"24.4908"	"C46H11.2"	"Flavin-containing monooxygenase"
"176321_s_at"	"3.59e-03"	"2.44e-05"	"24.20882"	"trap-1"	"TRanslocon-Associated Protein"
"187197_s_at"	"3.59e-03"	"2.45e-05"	"24.20202"	""	""
"191632_at"	"3.59e-03"	"2.45e-05"	"24.19865"	"T28H10.1"	"hypothetical protein"
"183845_s_at"	"3.59e-03"	"2.46e-05"	"24.17547"	"mboa-3"	"Membrane Bound O-Acyl transferase, MBOAT"
"184777_s_at"	"3.63e-03"	"2.51e-05"	"24.07808"	"K06A9.1"	"hypothetical protein"
"AFFX-r2-Bs-dap-M_at"	"3.76e-03"	"2.61e-05"	"23.87728"	""	""
"182790_at"	"3.83e-03"	"2.67e-05"	"23.75483"	"clec-7"	"C-type LECtin"
"178025_s_at"	"3.89e-03"	"2.73e-05"	"23.6419"	"W09C5.1"	"hypothetical protein"
"185067_at"	"3.94e-03"	"2.79e-05"	"23.53911"	"C54F6.12"	"hypothetical protein"
"189299_at"	"3.94e-03"	"2.83e-05"	"23.47185"	"Y65B4BR.1"	"hypothetical protein"
"174713_at"	"3.94e-03"	"2.83e-05"	"23.46079"	"mrp-5"	"hypothetical protein"
"184313_s_at"	"3.94e-03"	"2.84e-05"	"23.4601"	"K11H12.4"	"hypothetical protein"
"186446_at"	"3.97e-03"	"2.89e-05"	"23.36985"	"pnk-1"	"PaNtothenate Kinase"
"AFFX-DapX-M_at"	"3.97e-03"	"2.90e-05"	"23.35481"	""	""
"190161_at"	"4.09e-03"	"3.00e-05"	"23.18114"	"ncx-6"	"Putative sodium/calcium exchanger 6"
"178014_s_at"	"4.13e-03"	"3.05e-05"	"23.10009"	"prmt-7"	"Protein arginine N-methyltransferase 7"
"184159_at"	"4.23e-03"	"3.14e-05"	"22.95472"	"T05E12.6"	"hypothetical protein"
"177978_at"	"4.23e-03"	"3.16e-05"	"22.93366"	"dct-18"	"DAF-16/FOXO Controlled, germline Tumor affecting"
"179094_s_at"	"4.28e-03"	"3.21e-05"	"22.84817"	"T16G1.4"	"hypothetical protein"
"181635_at"	"4.28e-03"	"3.23e-05"	"22.81835"	"F55G11.2"	"hypothetical protein"
"173865_at"	"4.29e-03"	"3.26e-05"	"22.77038"	"sur-5"	"Acetoacetyl-CoA synthetase"
"187567_at"	"4.33e-03"	"3.31e-05"	"22.69802"	"ZK177.2"	"hypothetical protein"
"190009_at"	"4.40e-03"	"3.38e-05"	"22.59802"	"F49E12.10"	"hypothetical protein"
"193755_s_at"	"4.48e-03"	"3.46e-05"	"22.48922"	"pdi-3"	"Protein disulfide-isomerase"
"193068_at"	"4.49e-03"	"3.49e-05"	"22.44629"	"pept-1"	"Peptide transporter family 1"
"185348_at"	"4.50e-03"	"3.52e-05"	"22.4142"	"zip-12"	"bZIP transcription factor family"
"187407_s_at"	"4.53e-03"	"3.56e-05"	"22.35548"	"B0495.5"	"hypothetical protein"
"179525_at"	"4.53e-03"	"3.59e-05"	"22.31668"	"hrg-4"	"Heme Responsive Gene"
"187323_at"	"4.53e-03"	"3.62e-05"	"22.28287"	"F13D12.6"	"Uncharacterized serine carboxypeptidase F13S12.6"
"191581_at"	"4.53e-03"	"3.63e-05"	"22.26986"	"best-1"	"Bestrophin homolog 1"
"184449_at"	"4.55e-03"	"3.66e-05"	"22.22192"	"trap-4"	"TRanslocon-Associated Protein"
"173463_s_at"	"4.55e-03"	"3.68e-05"	"22.19502"	"slo-2"	"SLOwpoke potassium channel family"
"188921_at"	"4.55e-03"	"3.70e-05"	"22.17057"	"F25D1.5"	"hypothetical protein"
"189366_at"	"4.60e-03"	"3.76e-05"	"22.09437"	"cyp-35B1"	"CYtochrome P450 family"
"187724_s_at"	"4.61e-03"	"3.79e-05"	"22.05766"	"ZK177.2///F12A10.2"	"hypothetical protein///pseudo"
"182904_at"	"4.68e-03"	"3.87e-05"	"21.96211"	"W03D2.6"	"pseudo"
"190598_at"	"4.81e-03"	"4.02e-05"	"21.7911"	"tsp-10"	"TetraSPanin family"
"179380_s_at"	"4.81e-03"	"4.02e-05"	"21.78985"	"C18D4.8"	"pseudo"
"178690_s_at"	"4.82e-03"	"4.05e-05"	"21.7511"	"F33E2.5"	"hypothetical protein"
"191406_at"	"4.86e-03"	"4.10e-05"	"21.69434"	"F21D5.3"	"hypothetical protein"
"184037_at"	"5.09e-03"	"4.33e-05"	"21.44522"	"math-22"	"MATH (meprin-associated Traf homology) domain containing"
"185954_at"	"5.09e-03"	"4.36e-05"	"21.40826"	"Y54G11A.7"	"hypothetical protein"
"192177_s_at"	"5.09e-03"	"4.37e-05"	"21.39781"	"ZK632.4"	"Probable mannose-6-phosphate isomerase"
"188105_s_at"	"5.09e-03"	"4.41e-05"	"21.35903"	"mup-4"	"Transmembrane matrix receptor MUP-4"
"193894_at"	"5.09e-03"	"4.41e-05"	"21.35786"	"metr-1"	"Probable methionine synthase"
"182710_at"	"5.15e-03"	"4.48e-05"	"21.2875"	"C35B8.3"	"hypothetical protein"
"182338_at"	"5.32e-03"	"4.66e-05"	"21.11262"	"T05E7.1"	"hypothetical protein"
"178069_s_at"	"5.45e-03"	"4.79e-05"	"20.98265"	"ZC247.1"	"hypothetical protein"
"190202_at"	"5.51e-03"	"4.87e-05"	"20.9093"	"scav-4"	"SCAVenger receptor (CD36 family) related"
"193623_at"	"5.51e-03"	"4.89e-05"	"20.89198"	"icmt-1"	"Protein-S-isoprenylcysteine O-methyltransferase"
"184328_s_at"	"5.65e-03"	"5.04e-05"	"20.75834"	"clec-173"	"C-type LECtin"
"184602_at"	"5.75e-03"	"5.18e-05"	"20.63385"	"ugt-25"	"UDP-glucuronosyltransferase"
"172958_s_at"	"5.75e-03"	"5.19e-05"	"20.63306"	"F13D12.6"	"Uncharacterized serine carboxypeptidase F13S12.6"
"188803_s_at"	"5.86e-03"	"5.31e-05"	"20.52453"	"mel-32"	"Serine hydroxymethyltransferase"
"191298_s_at"	"5.86e-03"	"5.34e-05"	"20.49953"	"pcp-2"	"Prolyl Carboxy Peptidase like"
"188063_s_at"	"5.86e-03"	"5.36e-05"	"20.48593"	"lact-3"	"beta-LACTamase domain containing"
"185210_s_at"	"5.86e-03"	"5.41e-05"	"20.44985"	"swt-7"	"SWEET sugar transporter family"
"193077_at"	"5.86e-03"	"5.41e-05"	"20.442"	"vgln-1"	"ViGiLN homolog"
"172830_x_at"	"5.94e-03"	"5.51e-05"	"20.36458"	""	""
"177131_s_at"	"6.01e-03"	"5.60e-05"	"20.29167"	"pud-1.1///pud-1.2"	"Protein Up-regulated in Daf-2(gf)///Protein Up-regulated in Daf-2(gf)"
"184320_at"	"6.11e-03"	"5.76e-05"	"20.17445"	"C14F11.4"	"hypothetical protein"
"188806_at"	"6.11e-03"	"5.78e-05"	"20.1589"	"C05D12.2"	"hypothetical protein"
"176851_at"	"6.11e-03"	"5.78e-05"	"20.1548"	"comt-4"	"Catechol-O-MethylTransferase family"
"190427_s_at"	"6.11e-03"	"5.80e-05"	"20.13952"	"ftn-1"	"Ferritin"
"193979_s_at"	"6.11e-03"	"5.86e-05"	"20.09602"	"kin-15"	"Receptor-like tyrosine-protein kinase kin-15"
"186182_s_at"	"6.11e-03"	"5.87e-05"	"20.09276"	"hrg-1"	"Heme transporter hrg-1"
"194222_x_at"	"6.11e-03"	"5.89e-05"	"20.07497"	"Y38F2AR.9"	"hypothetical protein"
"171923_x_at"	"6.15e-03"	"5.95e-05"	"20.03104"	"Y38F1A.6"	"Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial"
"189364_at"	"6.16e-03"	"5.99e-05"	"20.00264"	"parg-2"	"Poly(ADP-ribose) glycohydrolase 2"
"191802_at"	"6.16e-03"	"6.01e-05"	"19.98683"	"pssy-1"	"PhosphatidylSerine SYnthase"
"176597_at"	"6.27e-03"	"6.15e-05"	"19.88886"	"JC8.4"	"hypothetical protein"
"173556_s_at"	"6.43e-03"	"6.34e-05"	"19.7592"	"mthf-1"	"Probable methylenetetrahydrofolate reductase"
"174529_at"	"6.59e-03"	"6.52e-05"	"19.64084"	"H28G03.1"	"hypothetical protein"
"189371_s_at"	"6.61e-03"	"6.59e-05"	"19.59759"	"R07H5.8"	"hypothetical protein"
"175885_at"	"6.61e-03"	"6.60e-05"	"19.58975"	"F12E12.11"	"hypothetical protein"
"183240_s_at"	"6.88e-03"	"6.92e-05"	"19.39083"	"lpin-1"	"LiPIN (mammalian lipodystrophy associated) homolog"
"176756_s_at"	"6.88e-03"	"6.95e-05"	"19.3685"	"ppw-1///sago-2"	"PAZ/PIWI domain-containing///Piwi-like protein"
"174411_s_at"	"6.88e-03"	"6.98e-05"	"19.35138"	"T01H3.2"	"hypothetical protein"
"AFFX-r2-Bs-dap-3_at"	"6.88e-03"	"6.99e-05"	"19.34602"	""	""
"190208_at"	"6.97e-03"	"7.14e-05"	"19.25739"	"H28G03.1"	"hypothetical protein"
"189042_at"	"6.97e-03"	"7.14e-05"	"19.25626"	"tkt-1"	"TransKeTolase homolog"
"186886_s_at"	"7.40e-03"	"7.62e-05"	"18.98931"	"Y18D10A.23"	"hypothetical protein"
"192255_at"	"7.44e-03"	"7.70e-05"	"18.94715"	"F14D7.6"	"hypothetical protein"
"184396_at"	"7.63e-03"	"7.92e-05"	"18.82826"	"C46H11.2"	"Flavin-containing monooxygenase"
"181857_at"	"7.68e-03"	"8.02e-05"	"18.78153"	"C06E4.8"	"hypothetical protein"
"176652_s_at"	"7.79e-03"	"8.16e-05"	"18.7091"	"Y19D10A.16///C01B4.6"	"Aldose 1-epimerase///Aldose 1-epimerase"
"193200_s_at"	"7.91e-03"	"8.32e-05"	"18.63011"	"gale-1"	"UDP-GALactose 4-Epimerase"
"182282_s_at"	"8.14e-03"	"8.60e-05"	"18.49645"	"rpa-3///rpa-4"	"RPA-3///Replication Protein A homolog"
"181629_at"	"8.20e-03"	"8.72e-05"	"18.44061"	"C31B8.4"	"hypothetical protein"
"189345_at"	"8.20e-03"	"8.73e-05"	"18.43332"	"pho-13"	"intestinal acid PHOsphatase"
"186872_s_at"	"8.23e-03"	"8.80e-05"	"18.40223"	"sma-10"	"SMAll"
"174865_at"	"8.31e-03"	"8.93e-05"	"18.34503"	"F54G2.1"	"hypothetical protein"
"179499_s_at"	"8.33e-03"	"8.98e-05"	"18.32151"	"fbxa-157///fbxa-156"	"F-box A protein///F-box A protein"
"178483_at"	"8.38e-03"	"9.08e-05"	"18.27999"	"dohh-1"	"Deoxyhypusine hydroxylase"
"181334_s_at"	"8.44e-03"	"9.18e-05"	"18.2361"	"C27H5.4"	"hypothetical protein"
"180625_at"	"8.44e-03"	"9.22e-05"	"18.21781"	"R07H5.11///T08B2.4"	"hypothetical protein///hypothetical protein"
"192032_s_at"	"8.93e-03"	"9.79e-05"	"17.97996"	"pdi-6"	"Probable protein disulfide-isomerase A6"
"189403_s_at"	"8.93e-03"	"9.86e-05"	"17.95118"	"mrp-5"	"hypothetical protein"
