"ID"	"adj.P.Val"	"P.Value"	"Gene.symbol"	"Gene.title"	"GO.Function"	"GO.Process"	"GO.Component"
"192493_s_at"	1.84202782979205e-05	2.19822105654741e-08	"sams-1"	"Probable S-adenosylmethionine synthase 1"	"ATP binding///metal ion binding///methionine adenosyltransferase activity///methionine adenosyltransferase activity///nucleotide binding///protein binding///transferase activity"	"S-adenosylmethionine biosynthetic process///determination of adult lifespan///growth///lipid metabolic process///lipid storage///locomotion///negative regulation of lipid storage///one-carbon metabolic process///positive regulation of multicellular organism growth///reproduction///translation"	"cytosol///cytosol"
"191559_s_at"	1.87227128247909e-05	2.31706501257081e-08	"F11A5.9"	"hypothetical protein"	"transmembrane transporter activity"	"anion transport///transmembrane transport///transmembrane transport"	"integral component of membrane///integral component of membrane///membrane"
"188441_at"	2.15535801051301e-05	2.78130501238022e-08	"asp-12"	"ASpartyl Protease"	"aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///hydrolase activity///peptidase activity"	"innate immune response///protein catabolic process///proteolysis///proteolysis"	""
"173609_at"	2.15535801051301e-05	2.8579332736084e-08	"Y39B6A.1"	"hypothetical protein"	""	""	""
"177629_at"	2.30052451255116e-05	3.15209988460048e-08	"ZK593.3"	"hypothetical protein"	""	"lipid storage"	"integral component of membrane///membrane"
"188882_at"	2.34308351413205e-05	3.31397447302655e-08	"dhs-23"	"DeHydrogenases, Short chain"	""	"oxidation-reduction process"	""
"193958_at"	2.42553901284713e-05	3.53780275906985e-08	"cpr-4"	"Cathepsin B-like cysteine proteinase 4"	"cysteine-type endopeptidase activity///cysteine-type peptidase activity///hydrolase activity///peptidase activity"	"proteolysis///proteolysis involved in cellular protein catabolic process"	"extracellular space///lysosome"
"177218_at"	2.95323556123946e-05	4.43801145114439e-08	"Y53G8AM.5"	"hypothetical protein"	""	""	""
"180721_at"	3.44347351771717e-05	5.32692035889948e-08	"ilys-2"	"Invertebrate LYSozyme"	"lysozyme activity"	"defense response to Gram-positive bacterium///defense response to Gram-positive bacterium///metabolic process"	""
"193800_at"	3.89306350889871e-05	6.19448779316479e-08	"clec-48"	"C-type LECtin"	"carbohydrate binding"	""	""
"192492_at"	3.91085037344637e-05	6.39564480961395e-08	"sams-1"	"Probable S-adenosylmethionine synthase 1"	"ATP binding///metal ion binding///methionine adenosyltransferase activity///methionine adenosyltransferase activity///nucleotide binding///protein binding///transferase activity"	"S-adenosylmethionine biosynthetic process///determination of adult lifespan///growth///lipid metabolic process///lipid storage///locomotion///negative regulation of lipid storage///one-carbon metabolic process///positive regulation of multicellular organism growth///reproduction///translation"	"cytosol///cytosol"
"174812_at"	4.2583885777094e-05	7.15221064985446e-08	"sams-1"	"Probable S-adenosylmethionine synthase 1"	"ATP binding///metal ion binding///methionine adenosyltransferase activity///methionine adenosyltransferase activity///nucleotide binding///protein binding///transferase activity"	"S-adenosylmethionine biosynthetic process///determination of adult lifespan///growth///lipid metabolic process///lipid storage///locomotion///negative regulation of lipid storage///one-carbon metabolic process///positive regulation of multicellular organism growth///reproduction///translation"	"cytosol///cytosol"
"178030_at"	4.26185886647033e-05	7.37666068772279e-08	"fbxa-18"	"F-box A protein"	""	""	""
"192059_at"	4.26185886647033e-05	7.53477810646689e-08	"hmit-1.1"	"H(+) MyoInositol coTransporter"	"glucose transmembrane transporter activity///substrate-specific transmembrane transporter activity///sugar:proton symporter activity///transmembrane transporter activity"	"glucose import///glucose transmembrane transport///hexose transmembrane transport///proton transport///transmembrane transport///transport"	"apical plasma membrane///integral component of membrane///integral component of plasma membrane///membrane"
"174675_at"	4.39334022675826e-05	7.96141212362823e-08	"acs-2"	"fatty Acid CoA Synthetase family"	"catalytic activity"	"fatty acid metabolic process///lipid storage///metabolic process"	"mitochondrion"
"191759_at"	4.59719278635635e-05	8.53401533820848e-08	"fmo-2"	"Dimethylaniline monooxygenase [N-oxide-forming]"	"N,N-dimethylaniline monooxygenase activity///NADP binding///flavin adenine dinucleotide binding///monooxygenase activity///monooxygenase activity///oxidoreductase activity"	"defense response///oxidation-reduction process///oxidation-reduction process"	"cytoplasm///endoplasmic reticulum///endoplasmic reticulum membrane///integral component of membrane///intracellular membrane-bounded organelle///membrane///organelle membrane"
"190067_at"	4.64989104194564e-05	8.83736198027239e-08	"F09F7.4"	"hypothetical protein"	"3-hydroxyisobutyryl-CoA hydrolase activity///hydrolase activity"	"branched-chain amino acid catabolic process///embryo development ending in birth or egg hatching///valine catabolic process"	"mitochondrion"
"190404_s_at"	4.99043276675685e-05	9.70515101601332e-08	"folt-2"	"Folate-like transporter 2"	"folic acid binding///transmembrane transporter activity"	"transmembrane transport///transport"	"integral component of membrane///integral component of plasma membrane///membrane"
"190369_at"	5.36371947616819e-05	1.10323032570815e-07	"lron-5"	"eLRR (extracellular Leucine-Rich Repeat) ONly"	""	""	"integral component of membrane///membrane"
"183902_at"	5.36371947616819e-05	1.13240426575948e-07	"msra-1"	"Methionine Sulfoxide Reductase A"	"L-methionine:thioredoxin-disulfide S-oxidoreductase activity///oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor///peptide-methionine (S)-S-oxide reductase activity///peptide-methionine (S)-S-oxide reductase activity"	"oxidation-reduction process///oxidation-reduction process///protein repair///response to oxidative stress"	""
"183197_at"	5.36371947616819e-05	1.15384708659107e-07	"spp-21///spp-9"	"SaPosin-like Protein family///SaPosin-like Protein family"	""	""	""
"175195_at"	5.36371947616819e-05	1.1580231716877e-07	"T09F5.12"	"hypothetical protein"	""	""	""
"192194_s_at"	5.36371947616819e-05	1.16164532301543e-07	"asm-3"	"Putative sphingomyelin phosphodiesterase asm-3"	"hydrolase activity///hydrolase activity, acting on glycosyl bonds///metal ion binding///sphingomyelin phosphodiesterase activity///sphingomyelin phosphodiesterase activity"	"ceramide biosynthetic process///determination of adult lifespan///lipid metabolic process///metabolic process///sphingolipid metabolic process///sphingomyelin catabolic process///sphingomyelin catabolic process"	"extracellular region///extracellular region"
"177144_at"	5.44003434338674e-05	1.20232145262627e-07	"nhr-114"	"Nuclear Hormone Receptor family"	"DNA binding///metal ion binding///protein binding///sequence-specific DNA binding///steroid hormone receptor activity///transcription factor activity, sequence-specific DNA binding///zinc ion binding"	"regulation of transcription, DNA-templated///steroid hormone mediated signaling pathway///transcription, DNA-templated"	"nucleus///nucleus"
"190185_at"	5.44003434338674e-05	1.22626188513911e-07	"acly-1"	"Probable ATP-citrate synthase"	"ATP binding///ATP citrate synthase activity///catalytic activity///cofactor binding///metal ion binding///nucleotide binding///transferase activity///transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"	"acetyl-CoA biosynthetic process///citrate metabolic process///lipid metabolic process///metabolic process"	"cytoplasm"
"186215_at"	5.4843202568846e-05	1.26048465572596e-07	"fbxa-72"	"F-box A protein"	""	""	""
"173930_s_at"	5.74629706450375e-05	1.3460938979832e-07	"acer-1"	"ACEtyl-CoA Regulator"	"CoA-transferase activity///catalytic activity"	"acetyl-CoA metabolic process"	"cytosol///mitochondrion"
"184012_at"	5.94321225739959e-05	1.41849043933515e-07	"srh-237"	"Serpentine Receptor, class H"	""	""	""
"192281_at"	6.12812071267395e-05	1.5112515666872e-07	"acs-11"	"fatty Acid CoA Synthetase family"	"catalytic activity"	"metabolic process"	""
"192578_at"	6.12812071267395e-05	1.51679451893808e-07	"fat-7"	"Delta(9)-fatty-acid desaturase fat-7"	"oxidoreductase activity///oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water///stearoyl-CoA 9-desaturase activity"	"determination of adult lifespan///embryo development ending in birth or egg hatching///fatty acid biosynthetic process///fatty acid biosynthetic process///fatty acid metabolic process///lipid metabolic process///lipid storage///locomotion///multicellular organism development///nematode larval development///oviposition///oxidation-reduction process///positive regulation of multicellular organism growth///receptor-mediated endocytosis///reproduction"	"endoplasmic reticulum membrane///integral component of membrane///membrane"
"193293_at"	6.46881027954576e-05	1.62971131904578e-07	"cpr-1"	"Gut-specific cysteine proteinase"	"cysteine-type endopeptidase activity///cysteine-type peptidase activity///hydrolase activity///peptidase activity"	"determination of adult lifespan///embryo development ending in birth or egg hatching///proteolysis///proteolysis involved in cellular protein catabolic process"	"extracellular space///lysosome"
"190619_at"	7.06812182949482e-05	1.84285859603963e-07	"asp-10"	"ASpartyl Protease"	"aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///peptidase activity"	"protein catabolic process///proteolysis///proteolysis"	""
"184431_at"	7.06812182949482e-05	1.84317873122738e-07	"C18A11.3"	"hypothetical protein"	""	""	"integral component of membrane///membrane"
"190092_at"	7.14137951004319e-05	1.89384649990096e-07	"aat-2"	"Amino Acid Transporter"	"L-amino acid transmembrane transporter activity///amino acid transmembrane transporter activity///antiporter activity"	"L-alpha-amino acid transmembrane transport///L-amino acid transport///amino acid transmembrane transport"	"integral component of membrane///integral component of plasma membrane///membrane"
"184707_s_at"	7.84931008094034e-05	2.12526035931275e-07	"dod-21///C32H11.9"	"Downstream Of DAF-16 (regulated by DAF-16)///hypothetical protein"	""	"determination of adult lifespan///determination of adult lifespan"	""
"180747_s_at"	7.84931008094034e-05	2.15097116030188e-07	"dsc-4"	"Defecation Suppressor of Clk-1"	""	"endoplasmic reticulum unfolded protein response///germ cell development///locomotion"	""
"193801_s_at"	8.43404625012657e-05	2.34848580666508e-07	"clec-49///clec-48"	"C-type LECtin///C-type LECtin"	"carbohydrate binding///monosaccharide binding///carbohydrate binding"	""	"extracellular region"
"174347_s_at"	8.62207187005063e-05	2.438950716832e-07	"C49C8.5"	"hypothetical protein"	""	"innate immune response"	""
"176140_s_at"	8.68570486951109e-05	2.4953406254949e-07	"F42H10.6"	"Putative esterase F42H10.6"	"hydrolase activity///identical protein binding"	"lipid storage///metabolic process"	""
"187964_at"	8.73345272411376e-05	2.54765913720004e-07	"lipl-1"	"Lipase"	"hydrolase activity///hydrolase activity, acting on ester bonds"	"lipid catabolic process///lipid metabolic process"	"lysosome"
"176955_at"	0.000100365056347041	2.97474512562779e-07	"ech-7"	"Enoyl-CoA Hydratase"	"catalytic activity"	"metabolic process"	""
"188358_at"	0.000100365056347041	3.01649672114862e-07	"faah-1"	"Fatty acid amide hydrolase 1"	"anandamide amidohydrolase activity///carbon-nitrogen ligase activity, with glutamine as amido-N-donor///hydrolase activity"	"metabolic process"	""
"175077_s_at"	0.000102571103361137	3.1281353069253e-07	"C05D12.3"	"hypothetical protein"	""	""	""
"178599_at"	0.000103367063216229	3.19809698348555e-07	"spp-12"	"SaPosin-like Protein family"	"channel activity"	"determination of adult lifespan///pathogenesis///pore formation in membrane of other organism///transmembrane transport"	"pore complex"
"172579_x_at"	0.000116826466463427	3.66615651664236e-07	"F59E12.6"	"hypothetical protein"	"thiol-dependent ubiquitinyl hydrolase activity"	"embryo development ending in birth or egg hatching///protein deubiquitination"	""
"178918_at"	0.000118177473718706	3.7607859039765e-07	"srap-1"	"Serine Rich Adhesion Protein-like"	""	""	""
"185335_at"	0.000122734793530602	3.96006184651226e-07	"F10D2.10"	"hypothetical protein"	"hydrolase activity"	""	""
"176916_at"	0.000136698560477192	4.47102474046947e-07	"Y67H2A.9"	"pseudo"	""	""	""
"182492_at"	0.000147815772100374	4.89997034586874e-07	"math-14"	"MATH (meprin-associated Traf homology) domain containing"	""	""	""
"193838_s_at"	0.000156930515443377	5.27147808782172e-07	"clec-49"	"C-type LECtin"	"carbohydrate binding///monosaccharide binding"	""	"extracellular region"
"188106_at"	0.000168389632890321	5.78066195527993e-07	"fil-1"	"Fasting Induced Lipase"	"hydrolase activity///lipase activity"	"lipid catabolic process///lipid storage"	""
"173972_s_at"	0.000168389632890321	5.80525585213042e-07	"art-1"	"Probable very-long-chain enoyl-CoA reductase art-1"	"oxidoreductase activity///oxidoreductase activity, acting on the CH-CH group of donors"	"fatty acid biosynthetic process///fatty acid metabolic process///lipid metabolic process///oxidation-reduction process"	"cytoplasm///endoplasmic reticulum///endoplasmic reticulum membrane///integral component of membrane///membrane"
"183330_s_at"	0.000171866031986553	6.01231720909222e-07	"C09B8.4"	"hypothetical protein"	""	""	""
"189554_at"	0.000171866031986553	6.0770309652704e-07	"spin-1"	"SPINster (Drosophila lysosomal permease) homolog"	"sphingolipid transporter activity"	"lipid storage///lipid transport///locomotion///sphingosine-1-phosphate signaling pathway///transmembrane transport"	"integral component of membrane///lysosomal membrane///membrane///vesicle"
"189402_s_at"	0.000176325876290632	6.31266120642703e-07	"pmp-5"	"Peroxisomal Membrane Protein related"	"ATP binding///ATPase activity///ATPase activity, coupled to transmembrane movement of substances///nucleotide binding"	"metabolic process///transmembrane transport///transport"	"integral component of membrane///membrane"
"175212_at"	0.00019124615700403	7.06792608288595e-07	"clec-82"	"C-type LECtin"	"carbohydrate binding"	"defense response to Gram-positive bacterium///innate immune response"	""
"186008_at"	0.00019124615700403	7.09379436329904e-07	"F54B11.11"	"hypothetical protein"	""	"defense response to Gram-negative bacterium///innate immune response///positive regulation of multicellular organism growth"	"membrane raft"
"180913_at"	0.00019124615700403	7.10040980700046e-07	"aqp-1"	"AQuaPorin or aquaglyceroporin related"	"glycerol channel activity///substrate-specific channel activity///transporter activity///urea transmembrane transporter activity///water channel activity"	"cellular water homeostasis///defense response to Gram-negative bacterium///defense response to Gram-negative bacterium///determination of adult lifespan///glycerol transport///innate immune response///innate immune response///ion transmembrane transport///transport///urea transmembrane transport///water transport"	"basolateral plasma membrane///integral component of membrane///integral component of plasma membrane///membrane"
"189828_s_at"	0.000192762331790776	7.24189975788551e-07	"hsp-3"	"Heat Shock Protein"	"ATP binding///ATPase activity///nucleotide binding"	"body morphogenesis///endoplasmic reticulum unfolded protein response///germ cell development///gonad development///locomotion///nematode larval development///reproduction"	"endoplasmic reticulum///endoplasmic reticulum chaperone complex///endoplasmic reticulum lumen"
"191502_at"	0.000195107165429071	7.41622816658567e-07	"ugt-18"	"UDP-glucuronosyltransferase"	"UDP-glycosyltransferase activity///glucuronosyltransferase activity///transferase activity///transferase activity, transferring glycosyl groups///transferase activity, transferring hexosyl groups"	"flavonoid biosynthetic process///flavonoid glucuronidation///metabolic process"	"integral component of membrane///intracellular membrane-bounded organelle///membrane"
"190439_s_at"	0.00019637587150488	7.5512489816241e-07	"cav-2"	"Caveolin-2"	"lipid transporter activity///signal transducer activity"	"caveola assembly///cell surface receptor signaling pathway///lipid transport///parturition///regulation of oviposition"	"Golgi apparatus///Golgi membrane///apical plasma membrane///apical plasma membrane///caveola///caveola///membrane///plasma membrane"
"174393_at"	0.000197141515071853	7.66782467461793e-07	"H40L08.2"	"hypothetical protein"	""	""	""
"190978_at"	0.000205098445859184	8.06796096418448e-07	"sodh-1"	"Alcohol dehydrogenase 1"	"alcohol dehydrogenase (NAD) activity///metal ion binding///oxidoreductase activity///zinc ion binding"	"determination of adult lifespan///oxidation-reduction process"	""
"189460_at"	0.000207936533933483	8.27150853216065e-07	"ckb-2"	"Choline kinase B2"	"ATP binding///choline kinase activity///choline kinase activity///kinase activity///nucleotide binding///transferase activity"	"CDP-choline pathway///endoplasmic reticulum unfolded protein response///lipid metabolic process///phosphatidylcholine biosynthetic process///phospholipid biosynthetic process///phosphorylation"	""
"187867_at"	0.00021225841482203	8.53724452985846e-07	"sir-2.3"	"NAD-dependent protein deacylase sir-2.3"	"NAD+ binding///hydrolase activity///metal ion binding"	"locomotion///metabolic process"	"mitochondrial matrix///mitochondrion///mitochondrion"
"190778_at"	0.00021575137305707	8.77309450663003e-07	"cln-3.1"	"Battenin"	""	"arginine transport///determination of adult lifespan///determination of adult lifespan///lysosome organization///regulation of intracellular pH///regulation of oviposition///vacuolar transport"	"cytoplasm///integral component of membrane///integral component of organelle membrane///lysosomal membrane///lysosome///membrane"
"189132_at"	0.000218173693097049	8.96802362785661e-07	"E02D9.1"	"hypothetical protein"	"ATP binding///RNA binding///nucleic acid binding///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity"	"hermaphrodite genitalia development///locomotion///molting cycle, collagen and cuticulin-based cuticle///nematode larval development///protein phosphorylation///reproduction"	"integral component of membrane///membrane"
"185902_at"	0.000218386333726634	9.07328856146016e-07	"F21C10.9"	"hypothetical protein"	""	"metabolic process"	""
"188822_at"	0.00022399340813236	9.40524807627587e-07	"acdh-1"	"Acyl CoA DeHydrogenase"	"acyl-CoA dehydrogenase activity///acyl-CoA dehydrogenase activity///electron carrier activity///fatty-acyl-CoA binding///flavin adenine dinucleotide binding///flavin adenine dinucleotide binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-CH group of donors///oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	"defense response to Gram-negative bacterium///determination of adult lifespan///fatty acid beta-oxidation using acyl-CoA dehydrogenase///innate immune response///lipid homeostasis///metabolic process///oxidation-reduction process"	"mitochondrion"
"191873_at"	0.000226945145458361	9.62949567469733e-07	""	""	""	""	""
"187412_at"	0.000230629341326178	9.88775518613892e-07	"C18H9.6"	"hypothetical protein"	""	""	""
"173996_at"	0.000242010951936792	1.04826843269859e-06	"acdh-2"	"Acyl CoA DeHydrogenase"	"acyl-CoA dehydrogenase activity///acyl-CoA dehydrogenase activity///electron carrier activity///fatty-acyl-CoA binding///flavin adenine dinucleotide binding///flavin adenine dinucleotide binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-CH group of donors///oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase///lipid homeostasis///metabolic process///oxidation-reduction process"	"peroxisome"
"190851_at"	0.000245041745635943	1.07222686488214e-06	"alh-1"	"ALdehyde deHydrogenase"	"aldehyde dehydrogenase (NAD) activity///oxidoreductase activity///oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	"lipid storage///metabolic process///multicellular organismal homeostasis///oxidation-reduction process"	""
"176939_at"	0.000246742585493931	1.09057496350909e-06	"spp-23"	"SaPosin-like Protein family"	""	""	""
"184116_s_at"	0.000265767927417112	1.18641152128744e-06	"T05E12.6"	"hypothetical protein"	""	""	""
"189900_at"	0.000273322170368108	1.23221486751589e-06	"B0454.6"	"hypothetical protein"	"L-amino acid transmembrane transporter activity///amino acid transmembrane transporter activity///antiporter activity"	"L-alpha-amino acid transmembrane transport///L-amino acid transport///amino acid transmembrane transport"	"integral component of membrane///integral component of plasma membrane///membrane"
"193124_s_at"	0.000280447978306316	1.28868645302259e-06	"pdi-2"	"Protein Disulfide Isomerase"	"isomerase activity///contributes_to peptidyl-proline 4-dioxygenase activity///protein disulfide isomerase activity///protein disulfide isomerase activity///protein-glutamine gamma-glutamyltransferase activity"	"body morphogenesis///cell redox homeostasis///embryo development ending in birth or egg hatching///endoplasmic reticulum unfolded protein response///locomotion///macromolecule modification///nematode larval development///oxidation-reduction process///peptidyl-proline hydroxylation to 4-hydroxy-L-proline///protein deglutathionylation///protein folding///protein folding///regulation of oxidative stress-induced intrinsic apoptotic signaling pathway"	"endoplasmic reticulum///endoplasmic reticulum///endoplasmic reticulum lumen///procollagen-proline 4-dioxygenase complex"
"183549_at"	0.000280447978306316	1.29637737794149e-06	"C49A9.5"	"hypothetical protein"	""	""	""
"189176_at"	0.000280447978306316	1.30152652915638e-06	"cyp-25A1"	"CYtochrome P450 family"	"heme binding///iron ion binding///metal ion binding///monooxygenase activity///oxidoreductase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"oxidation-reduction process"	"integral component of membrane///membrane"
"177544_at"	0.000285276577473499	1.33654440716866e-06	"hrg-3"	"Heme Responsive Gene"	"heme binding///heme transporter activity"	"heme transport"	"extracellular space"
"179858_at"	0.000290479022635075	1.37375714572168e-06	"C49C8.5"	"hypothetical protein"	""	"innate immune response"	""
"190736_s_at"	0.000295485635264426	1.41049496612411e-06	"ivd-1"	"IsoValeryl-CoA Dehydrogenase"	"acyl-CoA dehydrogenase activity///electron carrier activity///fatty-acyl-CoA binding///flavin adenine dinucleotide binding///flavin adenine dinucleotide binding///isovaleryl-CoA dehydrogenase activity///oxidoreductase activity///oxidoreductase activity, acting on the CH-CH group of donors///oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase///lipid homeostasis///metabolic process///oxidation-reduction process"	"mitochondrion"
"185336_s_at"	0.000302815542102562	1.45886824703555e-06	"F10D2.10"	"hypothetical protein"	"hydrolase activity"	""	""
"182180_at"	0.00030583683355186	1.48694151119136e-06	"C50D2.6"	"hypothetical protein"	""	""	""
"181698_s_at"	0.000320860342182546	1.57416565667459e-06	"math-4"	"MATH (meprin-associated Traf homology) domain containing"	""	""	""
"191611_at"	0.000330529786360718	1.63621374905637e-06	"cdr-1"	"CaDmium Responsive"	"molecular_function"	"stress response to cadmium ion///stress response to cadmium ion"	"integral component of membrane///lysosome"
"192737_at"	0.000341097304015442	1.70546855388302e-06	"scl-2"	"SCP-Like extracellular protein"	""	""	""
"176139_at"	0.000341097304015442	1.73912053472983e-06	"F42H10.6"	"Putative esterase F42H10.6"	"hydrolase activity///identical protein binding"	"lipid storage///metabolic process"	""
"171817_x_at"	0.000341097304015442	1.74372095544522e-06	"Y38F2AR.9"	"hypothetical protein"	""	"intracellular protein transport"	"Sec61 translocon complex///integral component of membrane///membrane"
"193162_s_at"	0.000341097304015442	1.74883037638856e-06	"pcyt-1"	"Phosphocholine CYtidylylTransferase"	"catalytic activity///choline-phosphate cytidylyltransferase activity///choline-phosphate cytidylyltransferase activity///nucleotidyltransferase activity///transferase activity"	"CDP-choline pathway///CDP-choline pathway///biosynthetic process///body morphogenesis///engulfment of apoptotic cell///lipid metabolic process///locomotion///nematode larval development///phosphatidylcholine biosynthetic process///phosphatidylcholine biosynthetic process///phospholipid biosynthetic process///protein catabolic process"	""
"189318_at"	0.000347082033856494	1.79485515850651e-06	"elo-2"	"Elongation of very long chain fatty acids protein"	"transferase activity"	"defense response///determination of adult lifespan///fatty acid biosynthetic process///fatty acid metabolic process///growth///lipid metabolic process///lipid metabolic process///lipid storage///multicellular organism growth///regulation of gene expression///reproduction"	"integral component of membrane///membrane"
"193016_s_at"	0.000366288093109502	1.91036441931143e-06	"Y38F1A.6"	"Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial"	"hydroxyacid-oxoacid transhydrogenase activity///hydroxyacid-oxoacid transhydrogenase activity///metal ion binding///oxidoreductase activity"	"molecular hydrogen transport///oxidation-reduction process"	"mitochondrion///mitochondrion"
